#,601049,,,,,,601153,,,,
#,601079,,,,,,601154,,,,
#,601153,,,,,,601171,,,,
#,601154,,,,,,601173,,,,
#,601171,,,,,,601178,,,,
#,601173,,,,,,601179,,,,
#,601178,,,,,,601180,,,,
#,601179,,,,,,601181,,,,
#,601180,,,,,,601182,,,,
#,601181,,,,,,601185,,,,
#,601182,,,,,,601186,,,,
#,601185,,,,,,601189,,,,
#,601186,,,,,,601199,,,,
#,601189,,,,,,601308,,,,
#,601199,,,,,,601311,,,,
#,601308,,,,,,601312,,,,
#,601311,,,,,,601351,,,,
#,601312,,,,,,601391,,,,
#,601351,,,,,,601405,,,,
#,601391,,,,,,601427,,,,
#,601405,,,,,,601446,,,,
#,601427,,,,,,601447,,,,
#,601446,,,,,,601523,,,,
#,601447,,,,,,601525,,,,
#,601523,,,,,,601565,,,,
#,601525,,,,,,607256,,,,
#,601565,,,,,,607300,,,,
,601688,,,,,,607304,,,,
,601700,,,,,,607312,,,,
,601733,,,,,,607322,,,,
,601766,,,,,,607334,,,,
,601832,,,,,,607353,,,,
,601951,,,,,,607368,,,,
,602071,,,,,,607392,,,,
,602223,,,,,,607460,,,,
,602552,,,,,,607462,,,,
,602604,,,,,,607588,,,,
,602904,,,,,,607643,,,,
,602907,,,,,,607722,,,,
,603508,,,,,,607723,,,,
,603650,,,,,,607726,,,,
,603730,,,,,,607733,,,,
,603731,,,,,,607751,,,,
,603737,,,,,,607785,,,,
,603836,,,,,,607953,,,,
,603987,,,,,,607975,,,,
,604118,,,,,,608042,,,,
,604165,,,,,,608118,,,,
,604244,,,,,,608121,,,,
,604258,,,,,,608162,,,,
,604259,,,,,,608177,,,,
,604279,,,,,,608318,,,,
,604386,,,,,,608335,,,,
,604509,,,,,,608384,,,,
,604510,,,,,,608498,,,,
,604695,,,,,,608529,,,,
,604699,,,,,,608687,,,,
,604726,,,,,,608688,,,,
,604727,,,,,,608913,,,,
,604732,,,,,,608949,,,,
,604735,,,,,,608973,,,,
,604736,,,,,,608974,,,,
,604738,,,,,,608999,,,,
,604748,,,,,,609012,,,,
,604753,,,,,,609014,,,,
